13;15;4;5;12;19;;;;;;;;;;
2;5;8;1;22;9;15;21;18;1;12;;;;;
5;3;15;12;15;7;25;;;;;;;;;
1;14;9;13;1;12;19;;;;;;;;;
19;16;1;2;9;1;12;12;25;;;;;;;
4;9;19;3;18;5;2;5;;;;;;;;
8;1;2;9;2;1;2;;;;;;;;;
18;5;17;21;9;18;5;13;5;14;2;19;;;;
11;5;18;19;8;5;14;2;1;21;13;;;;;
2;8;5;19;9;19;;;;;;;;;;
19;21;2;13;9;2;2;5;4;;;;;;;
4;5;7;18;5;5;;;;;;;;;;
4;15;3;2;15;18;;;;;;;;;;
16;8;9;12;15;19;15;16;8;25;;;;;;
21;14;9;22;5;18;19;9;2;25;;;;;;
6;1;3;21;12;2;25;;;;;;;;;
14;1;2;21;18;1;12;;;;;;;;;
19;3;9;5;14;3;5;19;;;;;;;;
4;5;16;1;18;2;13;5;14;2;;;;;;
5;22;15;12;21;2;9;15;14;1;18;25;;;;
5;14;22;9;18;15;14;13;5;14;2;1;12;;;
2;9;15;12;15;7;25;;;;;;;;;
13;15;4;5;12;19;;;;;;;;;;
2;5;8;1;22;9;15;21;18;1;12;;;;;
5;3;15;12;15;7;25;;;;;;;;;
1;14;9;13;1;12;19;;;;;;;;;
19;16;1;2;9;1;12;12;25;;;;;;;
4;9;19;3;18;5;2;5;;;;;;;;
8;1;2;9;2;1;2;;;;;;;;;
18;5;17;21;9;18;5;13;5;14;2;19;;;;
11;5;18;19;8;5;14;2;1;21;13;;;;;
19;21;16;5;18;22;9;19;5;4;;;;;;
2;12;1;21;19;2;5;9;14;;;;;;;
2;8;5;19;9;19;;;;;;;;;;
19;21;2;13;9;2;2;5;4;;;;;;;
4;5;7;18;5;5;;;;;;;;;;
4;15;3;2;15;18;;;;;;;;;;
16;8;9;12;15;19;15;16;8;25;;;;;;
21;14;9;22;5;18;19;9;2;25;;;;;;
6;1;3;21;12;2;25;;;;;;;;;
14;1;2;21;18;1;12;;;;;;;;;
19;3;9;5;14;3;5;19;;;;;;;;
4;5;16;1;18;2;13;5;14;2;;;;;;
5;22;15;12;21;2;9;15;14;1;18;25;;;;
5;14;22;9;18;15;14;13;5;14;2;1;12;;;
2;9;15;12;15;7;25;;;;;;;;;
18;5;3;15;13;13;5;14;4;5;4;;;;;
